concept_id,wn30_id,domain
100682,01626844-v,verb.creation
100683,01627105-v,verb.creation
100684,01627355-v,verb.creation
100685,01627779-v,verb.creation
100686,01627947-v,verb.creation
100687,01628197-v,verb.creation
100688,01628449-v,verb.creation
100689,01628899-v,verb.creation
10069,02000502-n,noun.animal
100690,01629000-v,verb.creation
100691,01629403-v,verb.creation
100692,01629589-v,verb.creation
100693,01629958-v,verb.creation
100694,01630532-v,verb.creation
100695,01630751-v,verb.creation
100696,01630903-v,verb.creation
100697,01631072-v,verb.creation
100698,01631534-v,verb.creation
100699,01631959-v,verb.creation
1007,00217773-n,noun.act
10070,02000618-n,noun.animal
100700,01632103-v,verb.creation
100701,01632411-v,verb.creation
100702,01632897-v,verb.creation
100703,01633173-v,verb.creation
100704,01633343-v,verb.creation
100705,01633825-v,verb.creation
100706,01634011-v,verb.creation
100707,01634142-v,verb.creation
100708,01634424-v,verb.creation
100709,01634734-v,verb.creation
10071,02000764-n,noun.animal
100710,01634887-v,verb.creation
100711,01635056-v,verb.creation
100712,01563349-a,adj.all
100713,01635432-v,verb.creation
100714,01636008-v,verb.creation
100715,01636221-v,verb.creation
100716,01636397-v,verb.creation
100717,01636859-v,verb.creation
100718,01636993-v,verb.creation
100719,01637166-v,verb.creation
10072,02000954-n,noun.animal
100720,01637368-v,verb.creation
100721,01637633-v,verb.creation
100722,01637982-v,verb.creation
100723,01638368-v,verb.creation
100724,01639003-v,verb.creation
100725,01639105-v,verb.creation
100726,01639364-v,verb.creation
100727,01639500-v,verb.creation
100728,01639592-v,verb.creation
100729,01639714-v,verb.creation
10073,02001428-n,noun.animal
100730,01640107-v,verb.creation
100731,01640207-v,verb.creation
100732,01640550-v,verb.creation
100733,01640855-v,verb.creation
100734,01641341-v,verb.creation
100735,01641545-v,verb.creation
100736,01641632-v,verb.creation
100737,01641751-v,verb.creation
100738,01641914-v,verb.creation
100739,01642311-v,verb.creation
10074,02001821-n,noun.animal
100740,01642437-v,verb.creation
100741,01642717-v,verb.creation
100742,01642820-v,verb.creation
100743,01642924-v,verb.creation
100744,01643297-v,verb.creation
100745,01643464-v,verb.creation
100746,01643657-v,verb.creation
100747,01644050-v,verb.creation
100748,01644238-v,verb.creation
100749,01644339-v,verb.creation
10075,02002075-n,noun.animal
100750,01644522-v,verb.creation
